n,tip,repetari,algoritm,status,rulari,timp_total_sec,timp_mediu_sec,timp_min_sec,timp_max_sec,memorie_auxiliara_estimata_bytes,memorie_totala_estimata_bytes
20,invers_sortat,10000,Selection Sort,OK,10000,0.004130,0.000000,0.000000,0.000012,0,80
20,invers_sortat,10000,Insertion Sort,OK,10000,0.004500,0.000000,0.000000,0.000008,0,80
20,invers_sortat,10000,Quick Sort,OK,10000,0.003290,0.000000,0.000000,0.000008,0,80
20,invers_sortat,10000,Merge Sort,OK,10000,0.005202,0.000001,0.000000,0.000011,80,160
20,invers_sortat,10000,Heap Sort,OK,10000,0.004656,0.000000,0.000000,0.000013,0,80
20,invers_sortat,10000,Counting Sort,OK,10000,0.003207,0.000000,0.000000,0.000011,160,240
20,invers_sortat,10000,Radix Sort,OK,10000,0.004207,0.000000,0.000000,0.000014,120,200
20,aproape_sortat,10000,Bubble Sort,OK,10000,0.004236,0.000000,0.000000,0.000015,0,80
20,aproape_sortat,10000,Selection Sort,OK,10000,0.004037,0.000000,0.000000,0.000004,0,80
20,aproape_sortat,10000,Insertion Sort,OK,10000,0.002795,0.000000,0.000000,0.000009,0,80
20,aproape_sortat,10000,Quick Sort,OK,10000,0.003162,0.000000,0.000000,0.000006,0,80
20,aproape_sortat,10000,Merge Sort,OK,10000,0.005190,0.000001,0.000000,0.000011,80,160
20,aproape_sortat,10000,Heap Sort,OK,10000,0.005270,0.000001,0.000000,0.000012,0,80
20,aproape_sortat,10000,Counting Sort,OK,10000,0.003544,0.000000,0.000000,0.000009,160,240
20,aproape_sortat,10000,Radix Sort,OK,10000,0.004132,0.000000,0.000000,0.000008,120,200
20,plat,10000,Bubble Sort,OK,10000,0.008899,0.000001,0.000000,0.000020,0,80
20,plat,10000,Selection Sort,OK,10000,0.005918,0.000001,0.000000,0.000010,0,80
20,plat,10000,Insertion Sort,OK,10000,0.004730,0.000000,0.000000,0.000020,0,80
20,plat,10000,Quick Sort,OK,10000,0.005775,0.000001,0.000000,0.000010,0,80
20,plat,10000,Merge Sort,OK,10000,0.006955,0.000001,0.000000,0.000010,80,160
20,plat,10000,Heap Sort,OK,10000,0.006730,0.000001,0.000000,0.000015,0,80
20,plat,10000,Counting Sort,OK,10000,0.003421,0.000000,0.000000,0.000006,100,180
20,plat,10000,Radix Sort,OK,10000,0.003429,0.000000,0.000000,0.000010,120,200
50,aleator,5000,Bubble Sort,OK,5000,0.020732,0.000004,0.000003,0.000027,0,200
50,aleator,5000,Selection Sort,OK,5000,0.010790,0.000002,0.000001,0.000020,0,200
50,aleator,5000,Insertion Sort,OK,5000,0.006158,0.000001,0.000000,0.000011,0,200
50,aleator,5000,Quick Sort,OK,5000,0.007933,0.000002,0.000001,0.000015,0,200
50,aleator,5000,Merge Sort,OK,5000,0.008983,0.000002,0.000001,0.000011,200,400
50,aleator,5000,Heap Sort,OK,5000,0.010293,0.000002,0.000001,0.000020,0,200
50,aleator,5000,Counting Sort,OK,5000,0.002266,0.000000,0.000000,0.000005,400,600
50,aleator,5000,Radix Sort,OK,5000,0.003261,0.000001,0.000000,0.000017,240,440
50,sortat,5000,Bubble Sort,OK,5000,0.006629,0.000001,0.000001,0.000013,0,200
50,sortat,5000,Selection Sort,OK,5000,0.005877,0.000001,0.000001,0.000009,0,200
50,sortat,5000,Insertion Sort,OK,5000,0.001435,0.000000,0.000000,0.000004,0,200
50,sortat,5000,Quick Sort,OK,5000,0.002075,0.000000,0.000000,0.000007,0,200
